12.06.2016|18:52:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|18:44:10*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|18:27:09*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|18:21:04*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:59:35*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:56:23*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:53:08*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:41:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:38:21*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:35:02*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:30:24*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:18:14*+#+*mh*+#+*1*+#+*Block-OB100*+#+*
12.06.2016|17:03:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|17:03:29*+#+*mh*+#+*1*+#+*Block-OB100*+#+*
12.06.2016|16:58:47*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
12.06.2016|16:52:50*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|23:20:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:22:20*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:20:31*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:19:09*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:16:16*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:14:08*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|19:05:13*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:58:48*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:46:55*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:36:45*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:34:56*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:32:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:24:54*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:24:28*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:23:13*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:17:42*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:15:26*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:13:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|18:09:31*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.06.2016|16:40:21*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
